Pixel,Wavenumber,Processed,Raw,Dark
300,367.69,1614.60,2214.60,600.00
301,370.00,1600.80,2198.80,598.00
302,372.31,1657.20,2252.60,595.40
303,374.62,1676.10,2261.00,584.90
304,376.93,1620.00,2205.30,585.30
305,379.23,1629.00,2240.30,611.30
306,381.54,1695.80,2309.40,613.60
307,383.84,1740.60,2345.10,604.50
308,386.14,1735.50,2332.90,597.40
309,388.44,1740.90,2500.10,759.20
310,390.74,1709.00,2470.00,761.00
311,393.03,1692.50,2285.20,592.70
312,395.33,1755.90,2346.60,590.70
313,397.62,1818.70,2405.00,586.30
314,399.91,1817.40,2397.50,580.10
315,402.20,1879.40,2470.90,591.50
316,404.49,1960.60,2554.90,594.30
317,406.77,1982.50,2569.40,586.90
318,409.06,2041.10,2644.10,603.00
319,411.34,2143.40,2737.20,593.80
320,413.62,2269.40,2850.00,580.60
321,415.90,2389.50,2974.00,584.50
322,418.18,2574.70,3161.10,586.40
323,420.45,2771.40,3362.50,591.10
324,422.73,2977.60,3588.20,610.60
325,425.00,3178.90,3789.60,610.70
326,427.27,3357.50,3948.00,590.50
327,429.54,3477.50,4702.80,1225.30
328,431.81,3565.00,4782.80,1217.80
329,434.07,3589.40,4161.90,572.50
330,436.34,3543.20,4123.30,580.10
331,438.60,3438.70,4028.10,589.40
332,440.86,3223.20,3805.70,582.50
333,443.12,3024.50,3607.70,583.20
334,445.38,2812.90,3401.40,588.50
335,447.64,2625.50,3204.90,579.40
336,449.89,2452.60,3034.40,581.80
337,452.15,2279.70,2868.30,588.60
338,454.40,2090.60,2673.90,583.30
339,456.65,1957.80,2543.60,585.80
340,458.90,1832.90,2428.40,595.50
341,461.14,1709.00,2307.70,598.70
342,463.39,1580.50,2175.80,595.30
343,465.63,1470.80,2766.60,1295.80
344,467.87,1421.60,2712.80,1291.20
345,470.11,1396.40,2004.60,608.20
346,472.35,1335.20,1946.00,610.80
347,474.59,1285.10,1866.80,581.70
348,476.82,1228.90,1823.00,594.10
349,479.06,1190.50,1798.20,607.70
350,481.29,1190.30,1803.90,613.60
351,483.52,1159.30,1772.20,612.90
352,485.75,1117.60,1704.70,587.10
353,487.98,1099.30,1680.80,581.50
354,490.20,1088.60,1671.50,582.90
355,492.43,1097.10,1680.00,582.90
356,494.65,1085.30,1664.70,579.40
357,496.87,1046.80,1624.00,577.20
358,499.09,1025.70,1604.80,579.10
359,501.31,1033.30,1609.50,576.20
360,503.53,989.80,1747.80,758.00
361,505.74,990.90,1757.00,766.10
362,507.96,1001.30,1594.00,592.70
363,510.17,959.60,1550.40,590.80
364,512.38,913.50,1493.60,580.10
365,514.59,909.20,1481.60,572.40
366,516.79,898.70,1478.60,579.90
367,519.00,870.90,1449.60,578.70
368,521.20,862.60,1446.40,583.80
369,523.41,846.10,1439.30,593.20
370,525.61,824.50,1413.50,589.00
371,527.81,805.90,1382.50,576.60
372,530.00,793.60,1372.90,579.30
373,532.20,790.90,1380.90,590.00
374,534.40,782.20,1365.10,582.90
375,536.59,785.40,1367.70,582.30
376,538.78,789.40,1370.60,581.20
377,540.97,773.40,1352.80,579.40
378,543.16,749.30,1325.70,576.40
379,545.35,706.10,1288.00,581.90
380,547.53,675.20,1262.70,587.50
381,549.71,671.40,1253.00,581.60
382,551.90,677.00,1314.90,637.90
383,554.08,678.20,1312.70,634.50
384,556.26,645.60,1214.30,568.70
385,558.44,633.70,1244.60,610.90
386,560.61,629.50,1245.20,615.70
387,562.79,605.10,1278.70,673.60
388,564.96,599.70,1277.40,677.70
389,567.13,622.10,1212.70,590.60
390,569.30,608.60,1195.10,586.50
391,571.47,579.30,1427.90,848.60
392,573.64,602.80,1447.30,844.50
393,575.80,626.50,1194.20,567.70
394,577.97,617.00,1206.40,589.40
395,580.13,603.40,1205.60,602.20
396,582.29,587.30,1166.50,579.20
397,584.45,577.20,1148.10,570.90
398,586.61,572.80,1357.00,784.20
399,588.76,572.60,1349.60,777.00
400,590.92,561.80,1132.50,570.70
401,593.07,545.50,1121.00,575.50
402,595.22,549.50,1134.10,584.60
403,597.37,554.80,1142.60,587.80
404,599.52,543.50,1121.30,577.80
405,601.67,555.60,1332.80,777.20
406,603.82,562.30,1341.30,779.00
407,605.96,535.10,1113.00,577.90
408,608.10,529.90,1107.20,577.30
409,610.25,554.60,1130.10,575.50
410,612.39,557.60,1132.00,574.40
411,614.52,561.70,1134.80,573.10
412,616.66,548.10,1132.20,584.10
413,618.80,545.40,1143.60,598.20
414,620.93,583.40,1171.20,587.80
415,623.06,596.10,1167.30,571.20
416,625.19,580.50,1154.40,573.90
417,627.32,568.90,1144.10,575.20
418,629.45,566.90,1136.10,569.20
419,631.58,586.40,1156.40,570.00
420,633.70,582.40,1152.00,569.60
421,635.83,568.30,1134.40,566.10
422,637.95,586.00,1155.20,569.20
423,640.07,593.70,1171.40,577.70
424,642.19,586.90,1164.00,577.10
425,644.31,596.80,1176.20,579.40
426,646.42,592.30,1176.40,584.10
427,648.54,570.80,1150.10,579.30
428,650.65,584.40,1159.00,574.60
429,652.76,626.40,1198.20,571.80
430,654.87,608.20,1270.00,661.80
431,656.98,590.60,1249.10,658.50
432,659.09,606.40,1179.50,573.10
433,661.20,583.10,1157.00,573.90
434,663.30,589.30,1164.00,574.70
435,665.41,583.80,1162.50,578.70
436,667.51,572.80,1140.00,567.20
437,669.61,584.00,1156.60,572.60
438,671.71,594.60,1175.20,580.60
439,673.80,599.90,1172.70,572.80
440,675.90,577.50,1148.80,571.30
441,677.99,574.20,1148.00,573.80
442,680.09,600.20,1171.40,571.20
443,682.18,598.30,1166.00,567.70
444,684.27,580.80,1148.90,568.10
445,686.36,587.50,1155.10,567.60
446,688.45,562.00,1137.30,575.30
447,690.53,549.20,1124.00,574.80
448,692.62,576.30,1141.30,565.00
449,694.70,565.50,1144.90,579.40
450,696.78,546.50,1184.10,637.60
451,698.86,541.90,1167.70,625.80
452,700.94,530.50,1096.60,566.10
453,703.02,522.20,1173.00,650.80
454,705.09,532.10,1194.30,662.20
455,707.17,534.90,1106.90,572.00
456,709.24,516.00,1088.70,572.70
457,711.31,510.30,1084.00,573.70
458,713.38,501.30,1067.60,566.30
459,715.45,501.30,1125.60,624.30
460,717.52,509.80,1131.40,621.60
461,719.58,494.60,1060.20,565.60
462,721.65,479.80,1048.00,568.20
463,723.71,478.30,1072.60,594.30
464,725.77,464.50,1058.30,593.80
465,727.83,446.70,1023.00,576.30
466,729.89,475.00,1052.20,577.20
467,731.95,482.80,1058.40,575.60
468,734.01,463.70,1033.90,570.20
469,736.06,454.60,1024.00,569.40
470,738.12,475.40,1056.10,580.70
471,740.17,492.80,1064.30,571.50
472,742.22,469.60,1037.80,568.20
473,744.27,468.30,1035.50,567.20
474,746.32,470.80,1038.20,567.40
475,748.36,476.90,1046.70,569.80
476,750.41,484.50,1045.30,560.80
477,752.45,483.30,1051.00,567.70
478,754.49,493.90,1068.90,575.00
479,756.53,523.20,1095.10,571.90
480,758.57,532.40,1095.60,563.20
481,760.61,531.60,1265.40,733.80
482,762.65,516.60,1264.90,748.30
483,764.68,497.00,1065.30,568.30
484,766.72,505.70,1068.50,562.80
485,768.75,505.70,1071.60,565.90
486,770.78,500.30,1066.10,565.80
487,772.81,522.10,1093.60,571.50
488,774.84,552.60,1117.50,564.90
489,776.87,555.80,1119.70,563.90
490,778.89,560.40,1125.10,564.70
491,780.92,587.50,1149.80,562.30
492,782.94,609.70,1181.60,571.90
493,784.96,618.80,1217.80,599.00
494,786.98,626.50,1218.00,591.50
495,789.00,645.10,1212.50,567.40
496,791.02,644.90,1212.80,567.90
